Who ^whp+who+++=Who
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
Siri ^np+++??+=Siri,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
time ^nn++++=time
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Nice ^jj+atrb+++=Nice
try ^nn++++=try.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
only ^rb+down+++=only
recognizes ^vbz+vprv+++=recognizes
my ^pp$+pp1+++=my
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
sound ^jj++++=sound
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
ever ^rb++++=ever
do ^vb+do+vrb++=do
anything ^pn++++=anything
for ^in++++=for
anyone ^pn++++=anyone
else ^rb+cnj+++=else?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
in ^in++++=in
a ^at++++=a
soup ^nn++++=soup
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
production ^nn+nom+++=production
of ^in++++=of
Oliver ^np++++=Oliver!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
of ^in++++=of
high ^jj+atrb+++=high
school ^nn++++=school.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
India ^np++++=India,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
humid ^jj+pred+++=humid
and ^cc+phrs+++=and
smelled ^jj+++xvbn+=smelled
funny ^jj++++=funny.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
that ^dt+dem+++=that
washing ^vbg+++xvbg+=washing
dishes ^nns++++=dishes
can ^md+pos+++=can
be ^vb+be+vrb++=be
an ^at++++=an
excellent ^jj+atrb+++=excellent
form ^nn++++=form
of ^in++++=of
meditation ^nn+nom+++=meditation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
key ^jjb++++=key
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
while ^cs+sub+++=while
washing ^nvbg+++xvbg+=washing
the ^ati++++=the
dishes ^nns++++=dishes
one ^cd1++++=one
should ^md+nec+++=should
only ^rb+down+++=only
be ^vb+be+aux++=be
washing ^vbg+++xvbgx+=washing
the ^ati++++=the
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
seriously ^rb++++=seriously.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
about ^in++++=about
being ^nn+nn+aux++=being
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
focusing ^jj+++xvbg+=focusing
on ^in++++=on
the ^ati++++=the
feeling ^jj+++xvbg+=feeling
of ^in++++=of
the ^ati++++=the
warm ^jj+atrb+++=warm
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
detergent ^nn++++=detergent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
dishes ^nns++++=dishes
squeaking ^jj++++=squeaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
following ^vbg+++xvbg+=following
your ^pp$+pp2+++=your
own ^ap++++=own
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
about ^in++++=about
simply ^rb++++=simply
being ^vbg+beg++xvbg+=being.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
United ^jj+atrb+++=United
Nations ^nns+nom+++=Nations,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
s ^zz++++=s
a ^at++++=a
Department ^nn+nom+++=Department
for ^in++++=for
Outer ^jjb+atrb+++=Outer
Space ^nn++++=Space
Affairs ^nns++++=Affairs?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
exist ^vb++++=exist
in ^in++++=in
case ^nn++++=case
we ^pp1a+pp1+++=we
ever ^rb++++=ever
make ^vb++++=make
contact ^nn++++=contact
with ^in++++=with
an ^at++++=an
alien ^jj+atrb+++=alien
civilization ^nn+nom+++=civilization.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
cool ^vb++++=cool.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks
ago ^rb++++=ago
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
up ^rb+phrv+++=up
a ^at++++=a
fan ^nn++++=fan
page ^nn++++=page
on ^in++++=on
Facebook ^np+++??+=Facebook
for ^in++++=for
our ^pp$+pp1+++=our
band ^nn++++=band
and ^cc++++=and
It ^pp3+it+++=It
s ^zz++++=s
not ^xnot++not++=not
a ^at++++=a
big ^jj+atrb+++=big
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
just ^rb+emph+++=just
took ^vbd+++xvbn+=took,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
five ^cd++++=five
minutes ^nns++++=minutes
to ^to++++=to
set ^vbi++++=set
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
someone ^pn++++=someone
joined ^vbd+++xvbn+=joined
our ^pp$+pp1+++=our
page ^nn++++=page.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
an ^at++++=an
actual ^jj+atrb+++=actual
fan ^nn++++=fan.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
listen ^vb++++=listen
to ^to++++=to
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
play ^nn++++=play
at ^rb++++=at
the ^ati++++=the
comic ^jj+atrb+++=comic
book ^nn++++=book
store ^nn++++=store.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
guys ^nns++++=guys
rock ^nn++++=rock.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
there ^rn+pl+++=there
s ^zz++++=s
an ^at++++=an
animated ^jj+atrb++xvbn+=animated
smiley ^nn+++??+=smiley
face ^nn++++=face
raising ^vwbg+++xvbg+=raising
the ^ati++++=the
roof ^nn++++=roof
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
totally ^rb+amp+++=totally
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
we ^pp1a+pp1+++=we
should ^md+nec+++=should
post ^vb++++=post
a ^at++++=a
comment ^nn+nom+++=comment
back ^jjb++++=back
to ^in++++=to
our ^pp$+pp1+++=our
fan ^nn++++=fan
and ^cc++++=and
thank ^vb++++=thank
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
might ^md+pos+++=might
be ^vb+be+vrb++=be
Footprints ^nns++++=Footprints
on ^in++++=on
the ^ati++++=the
Moon ^nn++++=Moon,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
your ^pp$+pp2+++=your
kind ^nn++++=kind
words ^nns++++=words
sent ^vbd+++xvbn+=sent
us ^pp1o+pp1+++=us
over ^in++++=over
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
write ^vbi++++=write?
? ^zz++++=EXTRAWORD
Dude ^np+++??+=Dude,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing
a ^at++++=a
bra ^nn++++=bra,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
throw ^vb++++=throw
it ^pp3+it+++=it
at ^in++++=at
your ^pp$+pp2+++=your
head ^jjb+atrb+++=head
right ^nn++++=right
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
posted ^vbd+++xvbnx+=posted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
name ^nn++++=name
is ^vbz+bez+vrb++=is
Trent ^np++++=Trent
Monaco ^np+++??+=Monaco.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
24 ^cd++++=24.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
a ^at++++=a
deejay ^nn+++??+=deejay.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brews ^nns++++=brews
his ^pp$+pp3+++=his
own ^ap++++=own
beer ^nn++++=beer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
got ^vbd+++xvbn+=got
awesome ^jj+atrb+++=awesome
tattoos ^nns+++??+=tattoos.
. ^zz++++=EXTRAWORD
Dude ^np+++??+=Dude,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
got ^vbd+++xvbn+=got
a ^at++++=a
hot ^jj+atrb+++=hot
girlfriend ^nn+++??+=girlfriend,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
so ^ql++++=so
cool ^vb++++=cool.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
no ^at++++=no
hard ^jj+atrb+++=hard
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
m ^zz++++=m
throwing ^vwbg+++xvbg+=throwing
my ^pp$+pp1+++=my
hypothetical ^jj+atrb+++=hypothetical
bra ^nn++++=bra
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
so ^ql++++=so
cool ^vb++++=cool.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
broken ^jj+atrb++xvbn+=broken
things ^nns++++=things
are ^vb+ber+vrb++=are
so ^ql++++=so
much ^ap++++=much
better ^jjr++++=better
than ^in++++=than
new ^jj+atrb+++=new
things ^nns++++=things
that ^tht+rel+obj++=that
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
dude ^nn+++??+=dude,
, ^zz++++=EXTRAWORD
Trent ^np++++=Trent
just ^rb+emph+++=just
checked ^vbd+++xvbn+=checked
in ^rb+phrv+++=in
at ^in++++=at
the ^ati++++=the
coffee ^nn++++=coffee
shop ^nn++++=shop
on ^in++++=on
Fair ^jj+atrb+++=Fair
Oaks ^np+++??+=Oaks.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
not ^xnot++not++=not
creepy ^nn+++??+=creepy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
built ^vbd+++xvbnx+=built
a ^at++++=a
Footprints ^nns++++=Footprints
on ^in++++=on
the ^ati++++=the
Moon ^nn++++=Moon
fan ^nn++++=fan
page ^nn++++=page,
, ^zz++++=EXTRAWORD
Trent ^np++++=Trent
joined ^vbd+++xvbn+=joined
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
From ^in++++=From
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
him ^pp3o+pp3+++=him
on ^in++++=on
Instagram ^np+++??+=Instagram,
, ^zz++++=EXTRAWORD
Snapchat ^np+++??+=Snapchat
and ^cc++++=and
pretty ^rb++++=pretty
much ^ap++++=much
track ^npl++++=track
his ^pp$+pp3+++=his
every ^at++++=every
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
like ^in++++=like
she ^pp3a+pp3+++=she
could ^md+pos+++=could
get ^vb++++=get
Trent ^np++++=Trent.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
we ^pp1a+pp1+++=we
introduce ^vb++++=introduce
ourselves ^ppls+pp1+++=ourselves?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
s ^zz++++=s
listening ^vwbg+++xvbg+=listening
to ^in++++=to
our ^pp$+pp1+++=our
music ^nn++++=music
right ^nn++++=right
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
s ^zz++++=s,
, ^zz++++=EXTRAWORD
all ^abn++++=all,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
aren ^j+++xvbn+=aren
t ^zz++++=t
you ^pp2+pp2+++=you
the ^ati++++=the
guys ^nns++++=guys
from ^in++++=from
Footprints ^nns++++=Footprints
on ^in++++=on
the ^ati++++=the
Moo ^np+++??+=Moo-oo-ooh
- ^zz++++=EXTRAWORD
oo ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ooh ^uh++++=EXTRAWORD
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
he ^pp3a+pp3+++=he
doing ^vbg+++xvbg+=doing?!
? ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
done ^vwbn+++xvbn+=done.
. ^zz++++=EXTRAWORD
Eh ^uh++++=Eh,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
eat ^vb++++=eat
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh!
! ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
em ^nn+++??+=em!
! ^zz++++=EXTRAWORD
Wait ^vb++++=Wait.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
sure ^jj++++=sure
they ^pp3a+pp3+++=they
re ^in++++=re
Star ^nn++++=Star
Wars ^nns++++=Wars
tickets ^nns++++=tickets?
? ^zz++++=EXTRAWORD
Guys ^nns++++=Guys,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
re ^in++++=re
gonna ^nn++++=gonna
sell ^vb++++=sell
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good
for ^in++++=for
Sheldon ^np++++=Sheldon
deciding ^vb+++xvbg+=deciding
to ^to+vcmp+++=to
stay ^vbi++++=stay
with ^in++++=with
Amy ^np+++??+=Amy
on ^rp++++=on
her ^pp3o+pp3+++=her
birthday ^nn++++=birthday.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
ever ^rb++++=ever
seen ^vbd+vprv++xvbn+=seen
a ^at++++=a
movie ^nn++++=movie
with ^in++++=with
Stuart ^np++++=Stuart
before ^in++++=before?
? ^zz++++=EXTRAWORD
Tonight ^nr+tm+++=Tonight
s ^zz++++=s
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
do ^vb+do+vrb++=do
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
t ^zz++++=t
believe ^vb+vprv+tht0++=believe
Sheldon ^np++++=Sheldon
gave ^vbd+++xvbn+=gave
this ^dt+pdem+++=this
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
from ^in++++=from
Wil ^np+++??+=Wil?
? ^zz++++=EXTRAWORD
Check ^vb+vprv+++=Check.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
everyone ^pn++++=everyone
booing ^vbg+++xvbg+=booing
at ^in+strn+++=at?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
bad ^jj++++=bad?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
hear ^vb+vprv+tht0++=hear
something ^pn++++=something?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Somebody ^pn++++=Somebody
kill ^nn++++=kill
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
ve ^vb+++??+=ve
built ^vbd+++xvbn+=built
it ^pp3+it+++=it
up ^rp++++=up
in ^in++++=in
our ^pp$+pp1+++=our
heads ^nns++++=heads
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
scared ^vbd+++xvbn+=scared
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
walk ^vb++++=walk
right ^jj++++=right
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
got ^vbd+++xvbn+=got
time ^nn++++=time
booked ^vbd+++xvbn+=booked
in ^rb+phrv+++=in
the ^ati++++=the
telescope ^nn++++=telescope
room ^nn++++=room
all ^rb++++=all
weekend ^nn++++=weekend
scanning ^vwbg+++xvbg+=scanning
for ^in++++=for
rogue ^nn++++=rogue
planets ^nns++++=planets.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
more ^ql++++=more
than ^cs+sub+++=than
welcome ^jj++++=welcome
to ^to+jcmp+++=to
join ^vbi++++=join
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
warn ^vb+vpub+tht0++=warn
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
just ^rb+emph+++=just
looking ^vbg+++xvbg+=looking
at ^rb++++=at
data ^nns++++=data
for ^in++++=for
hours ^nns++++=hours
and ^cc++++=and
hours ^nns++++=hours
on ^in++++=on
a ^at++++=a
computer ^nn+nom+++=computer
screen ^nn++++=screen.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
if ^cs+cnd+++=if
Leonard ^np++++=Leonard
made ^vbd+++xvbn+=made
an ^at++++=an
appointment ^nn+nom+++=appointment
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
lay ^vbi++++=lay
some ^dti++++=some
groundwork ^nn++++=groundwork
for ^in++++=for
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Low ^jj+atrb+++=Low
self ^nn++++=self-esteem.
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Lack ^nn++++=Lack
of ^in++++=of
confidence ^nn+nom+++=confidence.
. ^zz++++=EXTRAWORD
Pushover ^np+nom++??+=Pushover.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
sure ^jj++++=sure
the ^ati++++=the
telescope ^nn++++=telescope
s ^zz++++=s
camera ^nn++++=camera
is ^vbz+bez+vrb++=is
white ^jj+pred+++=white-field
- ^zz++++=EXTRAWORD
field ^nn++++=EXTRAWORD
balanced ^vbd+++xvbn+=balanced.
. ^zz++++=EXTRAWORD
Still ^rb+atrb+++=Still
making ^jj+++xvbg+=making
sure ^jj++++=sure
the ^ati++++=the
telescope ^nn++++=telescope
s ^zz++++=s
camera ^nn++++=camera
is ^vbz+bez+vrb++=is
white ^jj+pred+++=white-field
- ^zz++++=EXTRAWORD
field ^nn++++=EXTRAWORD
balanced ^vbd+++xvbn+=balanced.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
m ^zz++++=m
making ^vwbg+++xvbg+=making
sure ^jj++++=sure
the ^ati++++=the
telescope ^nn++++=telescope
s ^zz++++=s
camera ^nn++++=camera
is ^vbz+bez+vrb++=is
white ^jj+pred+++=white-field
- ^zz++++=EXTRAWORD
field ^nn++++=EXTRAWORD
balanced ^vbd+++xvbn+=balanced
and ^cc+phrs+++=and
wishing ^vbg+++xvbg+=wishing
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
a ^at++++=a
colouring ^jj+atrb++xvbg+=colouring
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Fine ^jj++++=Fine,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
something ^pn++++=something
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
There ^rn+pl+++=There
s ^zz++++=s
about ^in++++=about
six ^cd++++=six
months ^nns++++=months
of ^in++++=of
data ^nns++++=data
on ^in++++=on
this ^dt+dem+++=this
hard ^jj+atrb+++=hard
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
don ^npt++++=don
t ^zz++++=t
you ^pp2+pp2+++=you
go ^vb++++=go
through ^in++++=through
it ^pp3+it+++=it
and ^cc++++=and
see ^vb+vprv+++=see
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
spot ^vb++++=spot
any ^dti++++=any
patterns ^nns++++=patterns
or ^cc++++=or
anomalies ^nns++++=anomalies.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
takes ^vbz++++=takes
to ^to+vcmp+++=to
keep ^vbi++++=keep
you ^pp2+pp2+++=you
busy ^jj++++=busy
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
didn ^nn+++??+=didn
t ^zz++++=t.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
millions ^cds++++=millions
of ^in++++=of
data ^nns++++=data
points ^nns++++=points
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
something ^pn++++=something.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
find ^vb+vprv+tht0++=find
that ^tht+vcmp+++=that?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
so ^ql++++=so
once ^cs+tm+++=once
we ^pp1a+pp1+++=we
receive ^vb++++=receive
the ^ati++++=the
next ^ap++++=next
image ^nn++++=image
and ^cc++++=and
compare ^vb++++=compare
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
ones ^cd1s++++=ones
we ^pp1a+pp1+++=we
ve ^nn+++??+=ve
already ^rb++++=already
collected ^vbd+++xvbn+=collected,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ll ^nn+++??+=ll
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found.
. ^zz++++=EXTRAWORD
